Fototeny,sampateny
mahake,"hamahake, mahamahake, mihamahake"
mahantra,mihamahantra
mahery,mihamahery
mahia,mihamahia
mahimahina,mahamahimahina
mahina,"fahamahinana, hamahinana, mahimahina"
mahitsy,manamahitsy
may,"mahamay, maimay"
may,mahamay
may,"fahamaizana, mahamay, mahamay"
maika,"anamehana, fahamaikana, fanamaika, fanamehana, hamaikana, hamehana, mahamaika, maimaika, manamaika, mehina, mpanamaika"
maiky,mañamaiky
mailaka,"amailaka, anamailahana, fanamailahana, fanamailaka, hamailahana, mahamailaka, mailahina, mailamailaka, manamailaka, mpanamailaka, voamailaka"
mailamailaka,mahamailamailaka
mailo,fimailo
maimay,"hamaimaizana, mahamaimay, maimaizina"
maimbo,"amaimbo, anamaimboana, fahamaimbo, fahamaimboana, fanamaimbo, fanamaimboana, haimbo, hamaimbo, hamaimboana, mahamaimbo, maimboina, maimbomaimbo, mpanamaimbo, voamaimbo"
maina,"anamainana, fahamainana, fanamaina, fanamainana, mahamaina, maimaina, mainina, manamaina, mihamaina, mpanamaina"
maino,hamaino
mainty,"amainty, anamaintisana, fahamaintisana, fanamainty, fanamaintisana, hamainty, hamaintisana, hamaintisina, mahamainty, maintimainty, maintinty, maintisina, manamainty, mihamainty, mpanamainty"
maintimolaly,manamaintimolaly
maisatra,maisamaisatra
maito,manamaito
maitso,"amaitso, anamaitsoana, fanamaitso, fanamaitsoana, hamaitso, hamaitsoana, hamaitsoina, kamaitso, mahamaitso, maitsoina, maitsoitso, maitsomaitso, manamaitso, manamaitso, mpanamaitso, voamaitso"
maivana,"anamaivanana, fahamaivanana, fanamaivana, fanamaivanana, hamaivana, hamaivanana, hamaivanina, mahamaivana, maivamaivana, maivanina, manamaivana, mihamaivana, mpanamaivana, voamaivana"
maivoka,manamaivoka
maizaka,maizamaizaka
maizimaizina,"fahamaizimaizinana, kimaizimaizina"
maizina,"anamaizinana, fahamaizina, fahamaizinana, fanamaizina, fanamaizinana, hamaizina, hamaizinana, hamaizinina, mahamaizina, maizimaizina, maizinina, mampanamaizina, mampifanamaizina, manamaizina, mifanamaizina, mihamaizina, mpanamaizina"
makadiry,makadiridiry
makafoka,"hakafokafoka, makafokafoka"
makirana,"fahakirana, makirankirana"
malady,mañalady
malalaka,malaladalaka
malamalana,hamalamalana
malana,hamalana
male,"nimale, nomale, omale"
malefaka,mihamalefaka
malemy,mihamalemy
malina,"fahamalina, fahamalinana, hamalina, hamalinana"
malo,"fimalo, fimaloana, hamalo, imaloana, malomalo, mampimalo, mimalo, mpimalo"
malo,mimalo
maloka,"malomaloka, manamaloka"
mama,"mahamama, mihamama"
mamà,mimamà
mamamama,"fimamamama, fimamamamana, imamamamana, mahamamamama, mimamamama, mpimamamama"
mamy,"fahamamiana, fanamamy, mamimamy, manamamy, mpanamamy"
mamo,"anamamoana, fahamamoana, fanamamo, fanamamoana, fimamo, fimamoana, hamamo, hamamoana, imamoana, mahamamo, mamoina, mamomamo, manamamo, mankamamo, mimamo, mpanamamo, mpimamo"
manda,"fimanda, mimanda, voamanda"
mandimandina,fahamandimandina
mandina,"amandina, anamandinana, fahamandina, fahamandinana, fanamandina, fanamandinana, fimandina, hamandina, hamandinana, hamandinina, mahamandina, manamandina, mandimandina, mimandina, mpanamandina"
manditse,"mahamanditse, mihamanditse"
mando,"hamandoana, manamando, mandomando"
mandomando,mahamandomando
mandratra,mandradraha
mane,"pimane, voamane"
maneva,mampifañeva
manga,"amanga, anamangana, fahamanga, fahamangana, fanamanga, fanamangana, hamanga, hamangaina, hamangana, mahamanga, manamanga, mangaina, mangamanga, mihamanga, mpanamanga"
mangala,mangalaka
mangana,"amangana, anamanganana, fanamanganana, mahamangana, manamangana, mangamangana, manganina, mihamangana, mpanamangana"
manify,mihamanify
manike,mahamanike
manina,mahanina
manitra,"fahamanirana, manirina"
manja,"amanja, anamanjana, fahamanja, fahamanjana, fanamanja, fanamanjana, hamanja, hamanjaina, hamanjana, mahamanja, manamanja, manjaina, manjamanja, mpanamanja, voamanja"
manta,"anamantana, fahamanta, fahamantana, fanamanta, fanamantana, hamanta, hamantana, mahamanta, manamanta, mantamanta, mihamanta, mpanamanta"
mantoanto,"mahamantoanto, manamantoanto"
mantsana,mantsamantsana
maody,"mahamaody, maodimaody"
maodimaody,mahamaodimaody
maola,"fahamaola, fahamaolana, fimaola, hamaola, hamaolana, mahamaola, maolamaola, mimaola, mpimaola, tafamaola"
maolamaola,"fimaolamaolana, imaolamaolana, mimaolamaola"
maona,"fimaona, fimaonana, imaonana, mahamaona, mimaona, mpimaona"
maonjana,"anamaonjanana, fahamaonjanana, fanamaonjana, fanamaonjanana, hamaonjanana, hamaonjanina, mahamaonjana, manamaonjana, maonjanina, mpanamaonjana"
maoritra,maorimaoritra
maorona,maoromaorona
maosy,"kamaosy, manamaosy"
maotina,"fahamaotinana, maotimaotina"
maotona,"fahamaotona, fahamaotonana, hamaotona, hamaotonana, maotomaotona"
mara,"hamara, hamarana, kamara, maramara"
maraina,"anarainana, fahamarainana, fanaraina, fanarainana, hamaraina, manaraina, maraindraina, mpanaraina"
marambato,somarambato
maranantsody,somaranantsody
marangitra,mampaharangitra
marika,"amarika, anamarihana, fanamarihana, fanamarika, manamarika, marihina, marimarika, mpanamarika, voamarika"
marike,mañamarike
marikivy,"harikivy, mamparikivy, mihamarikivy"
marina,"anamarinana, fahamarinana, fanamarina, hamarenana, hamarina, hamarinana, hamarinina, marimarina, marimarina, marinina, mihamarina, mpanamarina, voamarina"
marirana,marirandrirana
maritra,marimaritra
maritse,"mahamaritse, mihamaritse"
maritsika,voamaritsika
maro,"anamaroana, ankamaroany, fahamaro, fahamaroa, fahamaroana, fanamaro, fanamaroana, hamaro, hamaroana, hamaroina, mahamaro, manamaro, maroana, maroina, maromaro, mpanamaro"
marofy,marofirofy
maroroka,marorodroroka
masaka,"ahamasahana, anamasahana, fahamasahana, fahamasaka, fanamasahana, fanamasaka, hamasahana, hamasahina, hamasaka, mahamasaka, manamasaka, masahina, masamasaka, mihamasaka, mpanamasaka"
masake,"mahamasake, mañamasake, mihamasake, pañamasake, pimasake"
masy,"mpimasy, omasina"
masiaka,mihamasiaka
masimasy,"fimasimasy, fimasimasiana, imasimasiana, mimasimasy, mpimasimasy"
masina,"ankamasinina, fahamasinana, fanamasina, fanamasinana, fanasina, fankamasinana, hamasinina, manamasina, mankamasina, mpanamasina"
maso,"fimaso, fimasoana, imaso, imasoana, mahamaso, masoina, masomaso, mimaso, mpimaso"
mas&ograve;va,malimas&ograve;va
matanjaka,mihamatanjaka
matavy,mihamatavy
matevina,mihamatevina
maty,"imatesana, matimaty, mimaty"
matimaty,"fimatimatesana, mimatimaty"
matona,"famatona, mamatona"
matotra,"fahamatorana, matomatotra"
matroka,"anamatrohana, fanamatrohana, fanamatroka, manamatroka, matrohina, matromatroka, mpanamatroka, somatroka"
matso,matsoina
mavesatra,mihamavesatra
mavo,"anamavoana, fanamavo, fanamavoana, hamavo, hamavoana, hamavoina, kimavo, mampanamavo, manamavo, mavoana, mavoina, mifamavo, mifanamavo, mihamavo, mpanamavo"
mavo,"fifamavo, manamavo, mavomavo, mpifamavo"
mavomavo,fahamavomavoana
mazava,mihamazava
mbomba,"ambomba, ambombaina, ambombana, fambomba, fambombana, mbombaina, mbombana, mifambomba, mpambomba, voambomba"
meda,"fimeda, medameda, mimeda"
medameda,"fimedamedana, imedamedana, tsimedameda"
meke,"hameke, mahameke"
meloka,"fanamelohana, fanameloka, hamelohina, mahameloka, melohina, mihameloka, mpanameloka"
meloka,"anamelohana, fahameloka, fanamelohana, fanameloka, mahameloka, melohina, mihameloka, mpanameloka"
meloka,manameloka
meloka,manameloka
mena,"anamenana, fanamena, fanamenana, hamena, hamenana, mahamena, manamena, menaina, menamena, mihamena, mpanamena"
menamena,fahamenamenana
menatra,"ahamenarana, fahamenarana, fampahamenatra, mampahamenatra"
mendy,mendimendy
mendo,"hamendo, mahamendo, mendomendo, mihamendo"
menemene,"ampimenemene, mahamenemene, mampimenemene, mimenemene, pimenemene"
menimeny,menimenenina
menomenona,"imenomenonana, kamenomenona, mimenomenona"
menona,"kamenona, menomenona"
mentsomentsona,mimentsomentsona
mentsona,"kamentsona, mentsomentsona"
meo,"fimeo, mimeo, mpimeo"
meratse,"hameratse, mahameratse, mihameratse"
mesamesana,fahamesamesahana
mete,"mahamete, mihamete"
mety,"ahametezana, etezana, fahametezana, fetezana, hametezana, mahamety, metezina, metimety"
meva,mifañeva
mezaka,"anamezahana, famezaka, fanamezahana, fanamezaka, hamezahana, hamezaka, mahamezaka, mamezaka, manamezaka, mezahina, mezamezaka, mpamezaka, mpanamezaka, voamezaka"
midy,mahamidy
mihitsy,mihitsimihitsy
milamina,mihamilamina
mindro,"amindroana, famindro, famindroana, mamindro, mpamindro"
minjo,maminjo
minty,manaminty
mintsike,mamintsike
mintsimintsy,"fimintsimintsy, fimintsimintsiana, imintsimintsiana, mahamintsimintsy, mimintsimintsy, mintsimintsina, mpimintsimintsy"
mira,"fampimirana, fimira, fimirana, mampimira, miramira, mpampimira"
miramirana,"amiramirana, anamiramiranana, fahamiramiranana, fanamiramirana, fanamiramiranana, fimiramirana, fimiramiranana, imiramiranana, mahamiramirana, manamiramirana, mimiramirana, mpanamiramirana, mpimiramirana"
mirana,"anamiranana, fahamiranana, hamiranana, mahamirana, mimirana, miramirana, mpimirana"
mitambotsotra,mihamitambotsotra
mitanàka,mitananàka
mitevy,dimbitevy
mitombo,mihamitombo
moa,hamoa
moana,hamoanana
moemoe,"fimoemoe, kimoemoe, mahamoemoe, mampimoemoe, pimoemoe"
mohaka,"anamohafana, fanamohafana, fanamohaka, mahamohaka, manamohaka, mohafina, mohamohaka, mpanamohaka"
mohake,mahamohake
moimoy,"fimoimoy, fimoimoizana, imoimoizana, mahamoimoy, mimoimoy, mpimoimoy"
mokimoky,"fimokimoky, fimokimokiana, imokimokiana, mahamokimoky, mimokimoky, mpimokimoky, tafamokimoky"
mokitra,"fimokirana, fimokitra, imokirana, mahamokitra, mimokitra, mokimokitra, mpimokitra"
mokoko,mokokoina
mokotse,"mahamokotse, mamokotse, mihamokotse"
molaly,molalena
molotra,"fimolotra, mimolotra"
mombo,mampamombo
momoke,"mahamomoke, manamomoke, mihamomoke"
mona,monamona
monaina,"fimonainana, hamonaimonainana, hamonainana, imonainana, mahamonaina, monainana, monamonaina"
monamonaina,"hamonamonainana, mahamonamonaina"
monda,"hamonda, mahamonda, mihamonda"
monditse,mahamonditse
mondra,"anamondrana, fanamondra, fanamondrana, mahamondra, manamondra, mondraina, mondramondra"
mondry,"anamondriana, fanamondry, fanamondriana, kimondrimondry, mahamondry, manamondry, mondrina, mpanamondry"
mondro,mondroina
monga,"anamongana, fanamonga, fanamongana, mahamonga, manamonga, mongaina, mpanamonga"
mongo,"amongo, anamongoana, fahamongo, fahamongoana, fanamongo, fanamongoana, hamongo, hamongoana, mahamongo, manamongo, mongoina, mongomongo, mpanamongo, voamongo"
mongomongo,manamongomongo
monina,monimonina
monjomonjo,"amonjomonjo, fimonjomonjo, fimonjomonjoana, imonjomonjoana, mahamonjomonjo, mimonjomonjo, monjomonjoina, mpimonjomonjo, tafamonjomonjo"
monjotra,"amonjotra, fimonjorana, fimonjotra, imonjorana, mahamonjotra, mimonjotra, monjomonjotra, mpimonjotra"
monomono,"fimonomono, mimonomono"
monomonona,"fimonomononana, imonomononana, mimonomonona, misamonomonona"
monta,"hamonta, montamonta"
montitra,"imontirana, samontitra"
monto,mañamonto
montotra,"amontotra, fahamontorana, fahamontotra, fimontorana, fimontotra, hamontorana, hamontotra, imontorana, mahamontotra, mimontotra, montomontotra, montorina, mpimontotra, samontotra"
montsamontsana,"anamontsamontsanana, fanamontsamontsanana, manamontsamontsana"
montsana,"anamontsanana, fanamontsana, fanamontsanana, mahamontsana, manamontsana, montsamontsana, montsanina, mpanamontsana, voamontsana"
montsina,mimontsina
montso,"amontso, mampimontso, mifampimontso, mimontso, pimontso"
montsona,"fimontsona, fimontsonana, imontsonana, mimontsona, montsonina, mpimontsona"
mora,"anamorana, fahamorana, fanamora, fanamorana, hamora, hamoraina, hamorana, mahamora, manamora, moraina, mpanamora, tamora"
mora,"fahamora, fihamora, kimora, mihamora, moramora, moramorainy, pañamora"
moramora,tsimoramora
morona,"amorona, anamoronana, fanamorona, fanamoronana, manamorona, moromorona, mpanamorona"
mosa,"famosana, mosamosa"
mosamosa,kimosamosa
mosare,"hamosare, mahamosare"
mosary,mosarena
mosavy,"amosaviana, amosavina, famosavy, famosaviana, mamosavy, mosavina, mosavisavy, mpamosavy, voamosavy"
motaka,"anamotahana, fanamotahana, fanamotaka, mahamotaka, manamotaka, mimotaka, motahina, motamotaka, mpanamotaka, voamotaka"
moty,anamotehana
moty,motena
motika,"fanamotehana, fanamotika, hamotika, mahamotika, manamotika, motimotika, mpanamotika, voamotika"
motraka,"anamotrahana, fanamotrahana, fanamotraka, hamotrahana, hamotraka, mahamotraka, manamotraka, motrahina, motramotraka, mpanamotraka"
motsika,"anamotsehana, fanamotsehana, fanamotsika, mahamotsika, manamotsika, motsehina, motsimotsika, mpanamotsika, voamotsika"
mozy,"fimozy, mimozy, mozimozy, mpimozy"
mozimozy,"fimozimozy, mimozimozy, mpimozimozy, tsimozimozy"
nafoke,"minafoke, pinafoke"
nahona,nahonahona
nahonahona,minahonahona
naikanaika,"anaikanaika, finaikanaika, finaikanaikana, inaikanaikana, kinaikanaika, mahanaikanaika, minaikanaika, mpinaikanaika, naikanaikaina, naikanaikana, tafanaikanaika, tsinaikanaika"
nainaina,"finainaina, finainainana, inainainana, konainaina, minainaina, mpinainaina"
nakanaka,minakanaka
nala,manala
nama,"ampinama, fampinama, finama, mahanama, mampinama, minama, namalahy, pinama"
namana,mpinamana
namba,kinamba
namonamona,"finamonamona, finamonamonana, inamonamonana, minamonamona, mpinamonamona, namonamonina, tafanamonamona"
nana,"kinana, manana"
nananana,"anananana, finananana, finanananana, inanananana, mahanananana, minananana, mpinananana, nanananaina, tafanananana"
nañenañe,minañenañe
nantsana,"minantsana, nantsanantsana"
nantsanantsana,"anantsanantsana, finantsanantsana, finantsanantsanana, inantsanantsanana, minantsanantsana, mpinantsanantsana, nantsanantsanina"
nantsonantsona,"finantsonantsona, finantsonantsonana, inantsonantsonana, mahanantsonantsona, minantsonantsona, mpinantsonantsona, nantsonantsonina"
naonaoke,"finaonaoke, minaonaoke"
naonaona,"finaonaona, finaonaonana, inaonaonana, kinaonaona, mahanaonaona, mikinaonaona, minaonaona, mpinaonaona, tafanaonaona"
nara,nanaranara
nara,"manara, naranara"
naranara,"inaranarana, minaranara"
naranara,manaranara
nato,"anatoana, fanato, fanatoana, manato, mpanato, natoina, voanato"
ndodoke,"fandodoke, mampandodoke, mandodoke, mihamandodoke, pandodoke"
ndondona,"fandondona, mandondona, mpandondona, ndondondondona"
nehaneha,"finehaneha, finehanehana, inehanehana, kinehaneha, mahanehaneha, mampinehaneha, minehaneha, mpinehaneha, pineheneha, tafanehaneha"
nehoneho,minehoneho
nemonemona,"finemonemona, finemonemonana, inemonemonana, minemonemona, minemonemona, mpinemonemona"
nena,"anenana, inenana, manena, minena"
nendo,"minendo, nendonendo"
nendonendo,"anendonendo, finendonendo, finendonendoana, mahanendonendo, minendonendo, mpinendonendo, nendonendoina, voanendonendo"
nene,"mampaneñe, paneñe"
nenina,"anenenana, fanenenana, fanenina, manenina, mpanenina, neninenina"
nenitse,"anenitse, mampinenitse, minenitse, pinenitse"
neno,"ampanenoina, anenoana, faneno, fanenoana, maneno, mpaneno, nenoneno"
nenona,nenonenona
nenonenona,"finenonenona, finenonenonana, inenonenonana, minenonenona, mpinenonenona"
ngadona,fingadonana
ngadona,ngadonina
ngadona,"anangadonana, angadona, angadonana, fanangadona, fanangadonana, fangadona, fangadonana, fingadona, ingadonana, manangadona, mingadona, mpanangadona, mpangadona, mpingadona, ngadongadona, ngadonina, tafangadona, voangadona"
ngadongadona,mingadongadona
ngaly,"kangaly, ngalingaly"
ngara,"fahangara, hangara, ngarangara"
ngatsokatsoke,"fangatsokatsoke, mampangatsokatsoke, mangatsokatsoke, pangatsokatsoke"
ngazana,hangazana
nge,ngenge
ngedona,"anangedonana, fanangedona, fanangedonana, mahangedona, manangedona, mpanangedona, ngedongedona, ngedonina"
ngelingely,manangelingely
ngenongenona,"fingenongenona, fingenongenonana, ingenongenonana, mahangenongenona, mingenongenona, mpingenongenona, ngenongenonina, tafangenongenona"
ngeroka,fangerokeroka
ngerona,"anangeronana, angerona, fanangerona, fanangeronana, mahangerona, manangerona, mpanangerona, ngerongerona, ngeronina, voangerona"
ngerongerona,"fangerongerona, fangerongeronana"
ngetroka,"fahangetroka, hangetroka"
ngeza,"fahangeza, fahangezana, hangeza, hangezana"
ngidy,"angidiana, fahangidiny, fangidiana, hangidy, mampangidy, mangidy, ngidingidy"
ngilake,mangilake
ngilo,"anangiloana, angilo, fahangilo, fanangilo, fanangiloana, hangilo, mahangilo, manangilo, mpanangilo, ngiloina, ngilongilo, tanangiloana, voangilo"
ngina,anginana
nginkazo,ngirifiry
nginkazo,minginkazo
ngita,"anangitana, fahangita, fahangitana, fanangita, fanangitana, hangita, hangitana, mahangita, manangita, mpanangita, ngitaina, ngitangita, voangita"
ngitrika,mingitrika
ngizina,"anangizinana, fanangizina, fanangizinana, mahangizina, manangizina, mpanangizina, ngizingizina, ngizinina, voangizina"
ngoay,"hangoay, mahangoay, mihangoay, pingoay"
ngodana,"mingodana, ngorodana"
ngodona,"angodona, fingodona, fingodonana, ingodonana, mahangodona, mingodona, mpingodona, ngodongodona, ngodonina, ngorodona"
ngodongodona,"ingodongodonana, mingodongodona"
ngokoke,"fangogoke, mampangogoke, mangogoke"
ngoladake,"fangoladake, mangoladake"
ngoly,"fahangoly, mahangoly, ngolingoly"
ngolingoly,"fanangolingolena, mahangolingoly"
ngonona,"mingonona, ngonongonona"
ngonongonona,"fingonongonona, fingonongononana, ingonongononana, mingonongonona, mpingonongonona, ngonongononina, tafangonongonona"
ngorintsy,"mampangorintsy, mangorintsy"
ngorodana,mingorodana
ngorodona,"fingorodona, fingorodonana, ingorodonana, mingorodona, mpingorodona, ngorodondrodona, ngorodonina"
ngoso,"fingoso, fingosoana, ingosoana, mahangoso, mingoso, mpingoso, ngosongoso"
nhea,nho
nia,"finia, finiavana, iniana, iniavana, minia, mpinia, niavina"
nify,"anifisana, fahanify, fahanifisana, fanifisana, hanify, hanifisana, hanifisina, mahanify, mampanify, manify, nifinify, nifisina"
nify,minify
niny,ninibe
ninitse,"fininitse, mahaninitse, mampininitse, mininitse, pininitse"
nintsy,"fanintsy, mampanintsy, panintsy"
nionioke,"finionioke, minionioke"
nitika,initihana
nitika,nitinitika
nitinity,"finitinity, finitinitiana, initinitiana, minitinity, mpinitinity, nitinitina"
nitinitika,"finitinitihana, finitinitika, initinitihana, minitinitika, nitinitihina"
njitike,"mampanjitike, manjitike"
njola,"anjola, anjolana, fanjola, fanjolana, mahanjola, manjola, mpanjola, njolaina, njolanjola, voanjola"
noana,"fahanoanana, hanoanana, mahanoana, noanina, noanoana"
nofy,"anofisana, fanofy, fanofisana, mañinôfy, manofy, manonofy, mpanofy, nofinofy, nofisina"
nofinofy,"manofinofy, manonofinofy"
nofo,nofosana
nondaka,"finondaka, minondaka, nondanondaka"
nono,"ampinono, ampinonoana, ampinonoina, anono, fampinonoana, finono, finonoana, inonoana, mahanono, mampinono, minono, mpinono, nonoina, pinono, voanono"
noro,mahanoro
noro,manoro
ntsaka,"antsakaina, antsakana, fantsàka, fantsakàna, mahantsaka, mantsaka, mpantsaka, tafantsaka, voantsaka"
oake,"mampañoake, pañoake"
obinobina,miobinobina
obonobona,"anobonobonana, aobonobona, fanobonobona, fanobonobonana, fiobonobona, fiobonobonana, iobonobonana, mahaobonobona, manobonobona, miobonobona, mpanobonobona, mpiobonobona, obonobonina, tafaobonobona, voaobonobona"
odake,"aodake, faodake, fiodake, mahaodake, mampañodake, mampiodake, mañodake, mifañodake, miodake, pañodake, pifañodake, piodake, voaodake"
ody,"ampodiana, ampodina, aodiody"
ody,"aodina, fiodiana, iodiana, miody, mpiody, odiana"
ody,"fody, fody, fodiana, mampañody, mampody, mimpody, mody, mpody, odiana, pañody, tafaody, voaody"
odina,iodinana
odina,"anodinana, aodina, fampiodina, fampiodinana, fanodina, fanodinana, fiodina, fiodinana, mampiodina, manodina, miodina, mpanodina, mpiodina, tafaodina, voaodina"
ofaka,miofaka
ofana,"manofana, miofana"
ofana,"anofanana, aofana, fampiofanana, fanofana, fanofanana, fiofana, fiofanana, iofanana, mahaofana, mpanofana, mpiofana"
ofana,"manofana, miofana"
ofy,"fiofy, fiofiana, iofiana, mahaofy, miofy, mpiofy, ofiofy, pañofy, piofy, voaofy"
ofikofika,"iofikofihana, manofikofika, miofikofika"
ofo,manofo
ofo,"fiofo, fiofoana, iofoana, mahaofo, mampiofo, miofo, mpiofo, voaofo"
ofoke,"mifañofoke, miofoke, pampiofoke, pañofoke, voaofoke"
ohaka,"ampiohafana, fampiohafana, fampiohaka, fiohafana, fiohaka, iohafana, mampiohaka, miohaka, mpampiohaka, mpiohaka, ohakohaka"
ohatra,"anoharana, aohatra, fanoharana, fanohatra, mahaohatra, manohatra, miohatra, mpanohatra, oharina, ohatrohatra, tafaohatra, voaohatra"
ohatse,"mampañohatse, mañohatse, mifañohatse, pañohatse, voaohatse"
ohy,"hoazana, voaohy"
ohy,"fanohy, ohazana"
ohona,"fanohona, fanohonana, manohona, ohonina, voaohona"
ohotra,"aohotra, manohotra, ohorina, voaohotra"
oitra,"anoirana, aoitra, fanoirana, fanoitra, fioirana, fioitra, ioirana, mahaoitra, manoitra, mioitra, mpanoitra, mpioitra, oirina, oitroitra, tafaoitra, voaoitra"
oitse,"aoitse, mahaoitse, mampañoitse, mañoitse, mioitse, pañoitse, voaoitse"
oje,"kioje, mahaoje, mampioje, mioje, pioje"
ojy,miojy
okatra,"miokatra, okarina, voaokatra"
okitra,"fiokirana, fiokitra, iokirana, miokitra, mpiokitra, okitrokitra"
oko,mioko
oko,"fioko, fiokoana, iokoana, mioko, mpioko"
ola,"aola, mampiola, mifañola, pañola, pifañola, piola"
ola,miola
ola,maola
olaka,"anolahana, aolaka, fiolahana, fiolaka, iolahana, mahaolaka, miolaka, mpiolaka, olakolaka, tafaolaka, voaolaka"
olakolaka,"anolakolahana, fiolakolahana, iolakolahana, manolakolaka, miolakolaka"
olana,"fifanolana, iolanolanana, mpifanolana"
olana,"anolanana, aolana, fanolana, fanolanana, fiolana, fiolanana, ifanolanana, iolanana, mahaolana, manolana, mifanolana, miolana, mpanolana, mpiolana, olanolana, tafaolana, voaolana"
olanolana,"mifanolanolana, miolanolana, miolanolana"
ole,"mifañampole, pimpole"
oly,"aoly, mahaoly, manoly, olioly, voaoly"
olika,"fanolehana, fanolehana, iolikolehana, manolikolika"
olika,"anolehana, aolika, fanolika, fiolehana, fiolika, iolehana, mahaolika, manolika, miolika, mpanolika, mpiolika, olikolika, tafaolika, voaolika"
olikolika,miolikolika
olitra,olerina
olitrolitra,miolitrolitra
oloana,"anoloana, anoloanana, fanoloana, fanoloanana, manoloana, oloanina"
olomay,miolomay
olona,iolonololanana
olona,"aolonolona, olonolona"
olonolona,"fiolonolona, fiolonolonana, ifampiolonolonana, iolonolonana, miolonolona, mpiolonolona, olonolonina"
olotra,olerana
olotra,"anolorana, aolotra, fanolorana, fanolotra, fiolorana, fiolotra, iolorana, mifanolotra, miolotra, mpiolotra, olorana, olorina, tafaolotra, voaolotra"
oma,"mampañoma, mampioma, mañoma, mifampioma, mioma, pañoma, pioma, voaoma"
omana,mionana
omana,"anomanana, aomana, fanomana, fanomanana, fiomana, fiomanana, iomanana, mahaomana, manomana, miomana, mpanomana, mpiomana, omanina, omanomana, tafaomana, voaomana"
omba,"aomba, fampañomba, mahaomba, mampañomba, ombaina, ombana, pañomba, pifañomba"
omba,"anombana, fanomba, fanombana, manomba, mpanomba, voaomba"
omba,"fifañomba, fiomba, fiombana, fombana, iombana, mampomba, miomba, momba, mpiomba, mpomba, tafaomba"
ombe,"mahaombe, mampañombe, miombe, pañombe, piombe, voaombe"
omby,"ahombiasana, ahombiazana, fahomby, fahombiasana, fahombiazana, fiombiazana, iombiazana, mahomby, mpahomby, nahomby"
omby,"kiombiomby, ombiomby, tsiombiomby"
omby,"fiomby, fiombiana, iombiana, mahaomby, miomby, mpiomby"
ombika,"anombihana, aombika, fanombihana, fanombika, fiombihana, fiombika, iombihana, mahaombika, manombika, miombika, mpanombika, mpiombika, ombihana, ombikombika, tafaombika, voaombika"
ombitse,"mahaombitse, mampañombitse, mañombitse, pañombitse, voaombitse"
ombona,"aombona, fiombona, fiombonana, iombonana, mahaombona, miombona, mpiombona, tafaombona"
ombotra,maombotra
ombotra,"anombotana, aombotra, fanombotana, fanombotra, fiombotana, fiombotra, iombotana, mahaombotra, manombotra, miombotra, miombotrombotra, mpanombotra, mpiombotra, ombotana, ombotrombotra, voaombotra"
ombotrombotra,manombotrombotra
ombotse,"aombotse, mahaombotse, mampañombotse, mifañombotse, miombotse, pañombotse, piombotse, voaombotse"
ome,"anomeazana, anomezana"
ome,"fanome, fanomezana, fifanomezana, ifanomezana, manome, mifanome, mpanome, omeme, omena"
omena,fomena
ompa,"ampañompa, anompana, aompa, fampañompa, fanompa, fanompana, fiompa, fiompana, iompana, iompanana, mahaompa, mampañompa, manompa, mifanompa, miompa, mpanompa, mpanompana, mpiompa, mpiompana, ompana, pañompa, voaompa"
ompaka,"anompahana, manompaka, miompaka, ompahina"
ompana,"anompanana, fanompanana, fiompanana"
ompana,"aompana, fanompana, fiompana, manompana, miompana, voaompana"
ompy,"mañompy, manompy"
ompy,"fiompy, fiompiana, iompiana, mahompy, miompy, mpiompy, ompiana, ompiompy, voaompy"
ona,manona
ona,"onana, onanina"
onana,manonana
onda,"mampionda, mionda, pionda, voaonda"
ondana,"anondanana, aondana, fanondana, fanondanana, fiondana, fiondanana, iondanana, mahaondana, manondana, mifanondana, miondana, mpanondana, mpiondana, ondanana, ondanondana, tafaondana, voaondana"
ondevo,miondevo
ondrana,"anondranana, aondrana, fanondrana, fanondranana, fiondrana, fiondranana, iondranana, mahaondrana, manondrana, miondrana, mpanondrana, mpiondrana, ondranondrana, tafaondrana, tafondrana, voaondrana"
ondrana,"fanondrana, fanondranana, kaondrana, kondrana, manondrana, ondranana, ondranondrana"
ondranondrana,ondranondranana
ondrika,"anondrehana, aondrika, fanondrehana, fanondrika, fiondrehana, fiondrika, iondrehana, mahaondrika, mampiondrika, manondrika, miondrika, mpanondrika, mpiondrika, ondrikondrika, tafaondrika, tanondrika, voaondrika"
ondrikondrika,miondrikondrika
ondrinondrina,iondrinondrenana
ondrinondrina,miondrinondrina
onena,"aonena, fahonena, mahonena"
onga,"aonga, mahaonga, manonga, mionga, pañonga, pionga, voaonga"
ongaka,"anongahana, aongaka, fanongahana, fanongaka, fiongaka, iongahana, mahaongaka, manongaka, miongaka, mpanongaka, ongahana, ongakongaka, tafaongaka, voaongaka"
ongake,"aongake, kiongake, mahaongake, mampañongake, mampiongake, pañongake, piongake, voaongake"
ongana,mifanongana
ongana,"anonganana, aongana, fanongana, fanonganana, fiongana, fionganana, ionganana, mahongana, manongana, miongana, mpanongana, mpiongana, onganongana, tafaongana, totongana, voaongana"
ongy,"ongina, voaongy"
ongy,"fiongy, miongy"
ongonongona,"anongonongonana, aongonongona, fanongonongona, fanongonongonana, manongonongona, mpanongonongona, voaongonongona"
